0	-81.030403	0.000000	0.000000
1	-81.030403	0.000000	0.000000
1	-81.030403	0.000000	0.000000
2	-81.030403	0.000000	0.000000
2	-81.030403	0.000000	0.000000
3	-81.030403	0.000000	0.000000
3	-81.030403	0.000000	0.000000
4	-81.030403	0.000000	0.000000
4	-81.030403	0.000000	0.000000
5	-81.030403	0.000000	0.000000
5	-81.030296	0.000000	0.000000
6	-80.941605	0.000005	0.000000
6	-80.792870	0.000015	0.000000
7	-79.870674	0.000035	25.078369
7	-78.355240	0.000072	50.156738
8	-76.109238	0.000108	225.705322
8	-71.191460	0.000201	300.940430
9	-69.560997	0.000293	451.410645
9	-64.600494	0.000441	652.037598
10	-57.806107	0.001402	376.175537
10	-52.472683	0.001538	150.470215
11	-65.994011	0.000633	175.548584
11	-66.814301	0.000350	451.410645
12	-63.529850	0.000534	376.175537
12	-62.033199	0.000708	150.470215
13	-65.544838	0.000426	476.489014
13	-67.690247	0.000274	576.802490
14	-66.100197	0.000318	551.724121
14	-68.546303	0.000333	576.802490
15	-66.909935	0.000311	652.037598
15	-69.091423	0.000296	626.959229
16	-68.444839	0.000292	652.037598
16	-70.365204	0.000272	752.351074
17	-68.507660	0.000273	551.724121
17	-66.411179	0.000339	351.097168
18	-67.693184	0.000347	326.018799
18	-69.243889	0.000276	376.175537
19	-69.610527	0.000250	501.567413
19	-69.510513	0.000217	652.037598
20	-67.763290	0.000274	601.880859
20	-69.703819	0.000290	551.724121
21	-65.709251	0.000380	351.097168
21	-66.106438	0.000476	125.391853
22	-64.813667	0.000426	300.940430
22	-67.637695	0.000390	501.567413
23	-65.237831	0.000399	401.253906
23	-66.710213	0.000420	426.332275
24	-64.354721	0.000444	401.253906
24	-66.511742	0.000394	351.097168
25	-67.763870	0.000301	576.802490
25	-69.297226	0.000278	752.351074
26	-68.274773	0.000329	652.037598
26	-65.655045	0.000431	451.410645
27	-66.979012	0.000430	300.940430
27	-63.339397	0.000535	200.626953
28	-63.777809	0.000519	326.018799
28	-64.661560	0.000448	250.783707
29	-65.311653	0.000481	275.862061
29	-62.440884	0.000478	426.332275
30	-66.938217	0.000383	677.115967
30	-69.536621	0.000271	601.880859
31	-65.449013	0.000438	250.783707
31	-64.240105	0.000599	225.705322
32	-62.225254	0.000585	100.313477
32	-66.076805	0.000449	326.018799
33	-67.202614	0.000397	426.332275
33	-65.812157	0.000389	326.018799
34	-65.087097	0.000414	326.018799
34	-64.025116	0.000451	250.783707
35	-62.435467	0.000530	275.862061
35	-65.641716	0.000560	225.705322
36	-65.615334	0.000438	175.548584
36	-64.471527	0.000394	326.018799
37	-66.416466	0.000502	225.705322
37	-64.018600	0.000464	300.940430
38	-69.397057	0.000285	551.724121
38	-67.100266	0.000298	601.880859
39	-65.857040	0.000390	652.037598
39	-62.811562	0.000578	1655.172363
40	-59.466167	0.000913	2934.169189
40	-53.801380	0.001532	3210.031250
41	-54.411331	0.002050	3034.482666
41	-47.831776	0.002980	3034.482666
42	-48.659679	0.003091	3285.266357
42	-54.052044	0.002017	3159.874512
43	-54.168350	0.001734	3009.404297
43	-49.036877	0.002381	3109.717773
44	-50.405212	0.002884	3410.658203
44	-46.218742	0.003101	3435.736572
45	-52.867886	0.002319	2959.247559
45	-57.673714	0.001178	2382.445068
46	-55.876522	0.001309	1329.153564
46	-44.765633	0.005253	426.332275
47	-37.069748	0.011060	451.410645
47	-35.880062	0.012514	727.272705
48	-36.678196	0.011506	827.586182
48	-37.003979	0.011520	852.664551
49	-36.594471	0.011861	802.507812
49	-36.110790	0.012106	702.194336
50	-35.778744	0.012959	576.802490
50	-36.933918	0.011295	601.880859
51	-37.983295	0.009759	752.351074
51	-37.801086	0.010052	752.351074
52	-37.559811	0.010675	526.645752
52	-36.932045	0.012289	426.332275
53	-36.627045	0.011858	526.645752
53	-36.904781	0.012146	601.880859
54	-36.181839	0.013524	677.115967
54	-35.239143	0.014029	702.194336
55	-35.211544	0.014320	652.037598
55	-36.887897	0.012526	652.037598
56	-36.881916	0.011956	551.724121
56	-36.947014	0.012365	526.645752
57	-37.415398	0.010795	501.567413
57	-38.438942	0.010500	376.175537
58	-38.710243	0.009849	351.097168
58	-39.379795	0.009019	326.018799
59	-39.046635	0.009366	300.940430
59	-40.450779	0.008291	250.783707
